Name,Category 1,Nationality
Adèle Exarchopoulos,Cinema/Humour,France
Ahmed Sylla,Cinema/Humour,France
Alain Chabat,Cinema/Humour,France
Alain Delon,Cinema/Humour,France
Alban Ivanov,Cinema/Humour,France
Albert Dupontel,Cinema/Humour,France
Ana Girardot,Cinema/Humour,France
Artus,Cinema/Humour,France
Audrey Fleurot,Cinema/Humour,France
Audrey Tautou,Cinema/Humour,France
Aymeric Lompret,Cinema/Humour,France
Benoit Magimel,Cinema/Humour,France
Benoit Poelvoorde,Cinema/Humour,France
Bérénice Bejo,Cinema/Humour,France
Blanche Gardin,Cinema/Humour,France
Camille Cottin,Cinema/Humour,France
Camille Lellouche,Cinema/Humour,France
Carlito,Cinema/Humour,France
Catherine Deneuve,Cinema/Humour,France
Charlotte Gainsbourg,Cinema/Humour,France
Clovis Cornillac,Cinema/Humour,France
Coluche,Cinema/Humour,France
Christian Clavier,Cinema/Humour,France
Dany Boon,Cinema/Humour,France
David Marsais,Cinema/Humour,France
Didier Bourdon,Cinema/Humour,France
Edouard Baer,Cinema/Humour,France
Elie Semoun,Cinema/Humour,France
Emmanuelle Béart,Cinema/Humour,France
Eric Judor,Cinema/Humour,France
Fabrice Éboué,Cinema/Humour,France
Fary,Cinema/Humour,France
Florence Foresti,Cinema/Humour,France
Franck Dubosc,Cinema/Humour,France
François Civil,Cinema/Humour,France
François Cluzet,Cinema/Humour,France
François Damiens,Cinema/Humour,France
François-Xavier Demaison,Cinema/Humour,France
Gad Elmaleh,Cinema/Humour,France
Geraldine Nakache,Cinema/Humour,France
Gerard Darmon,Cinema/Humour,France
Gerard Depardieu,Cinema/Humour,France
Gerard Jugnot,Cinema/Humour,France
Gérard Lanvin,Cinema/Humour,France
Gilles Lellouche,Cinema/Humour,France
Grégoire Ludig,Cinema/Humour,France
Guillaume Canet,Cinema/Humour,France
Guillaume Meurice,Cinema/Humour,France
Haroun,Cinema/Humour,France
Isabelle Adjani,Cinema/Humour,France
Jamel Debbouze,Cinema/Humour,France
Jean Dujardin,Cinema/Humour,France
Jean-Marie Bigard,Cinema/Humour,France
Jean Paul Belmondo,Cinema/Humour,France
Jean-Paul Rouve,Cinema/Humour,France
Jean Reno,Cinema/Humour,France
Jeff Panacloc,Cinema/Humour,France
Jeremy Ferrari,Cinema/Humour,France
José Garcia,Cinema/Humour,France
Kad Merad,Cinema/Humour,France
Kev Adams,Cinema/Humour,France
Kyan Khojandi,Cinema/Humour,France
Laeticia Casta,Cinema/Humour,France
Laurent Lafitte,Cinema/Humour,France
Léa Seydoux,Cinema/Humour,France
Leïla Bekhti,Cinema/Humour,France
Louane,Cinema/Humour,France
Louis de Funes,Cinema/Humour,France
Louis Garrel,Cinema/Humour,France
Louise Bourgoin,Cinema/Humour,France
Manu Payet,Cinema/Humour,France
Marina Fois,Cinema/Humour,France
Marion Cotillard,Cinema/Humour,France
Mathieu Kassovitz,Cinema/Humour,France
Mcfly,Cinema/Humour,France
Melanie Laurent,Cinema/Humour,France
Michel Blanc,Cinema/Humour,France
Mickael Youn,Cinema/Humour,France
Monica Bellucci,Cinema/Humour,France
Muriel Robin,Cinema/Humour,France
Omar Sy,Cinema/Humour,France
Patrick Sebastien,Cinema/Humour,France
Paul Mirabel,Cinema/Humour,France
Pierre Niney,Cinema/Humour,France
Pierre Palmade,Cinema/Humour,France
Pio Marmai,Cinema/Humour,France
Ramzy Bedia,Cinema/Humour,France
Raphaël Quenard,Cinema/Humour,France
Romain Duris,Cinema/Humour,France
Roman Frayssinet,Cinema/Humour,France
Samy Naceri,Cinema/Humour,France
Sophie Marceau,Cinema/Humour,France
Thierry Lhermitte,Cinema/Humour,France
Thomas Ngijol,Cinema/Humour,France
Valerie Lemercier,Cinema/Humour,France
Vanessa Paradis,Cinema/Humour,France
Vincent Cassel,Cinema/Humour,France
Vincent Lacoste,Cinema/Humour,France
Vincent Lindon,Cinema/Humour,France
Virginie Efira,Cinema/Humour,France
Antoine Griezmann,Foot,France
Benjamin Pavard,Foot,France
Bixente Lizarazu,Foot,France
Claude Makélélé,Foot,France
Didier Deschamps,Foot,France
Emmanuel Petit,Foot,France
Eric Cantona,Foot,France
Fabien Barthez,Foot,France
Franck Ribéry,Foot,France
Hugo Lloris,Foot,France
Jean Pierre Papin,Foot,France
Karim Benzema,Foot,France
Kylian Mbappé,Foot,France
Laurent Blanc,Foot,France
Lilian Thuram,Foot,France
Michel Platini,Foot,France
Mike Maignan,Foot,France
Olivier Giroud,Foot,France
Patrice Evra,Foot,France
Patrick Vieira,Foot,France
Paul Pogba,Foot,France
Raphael Varane,Foot,France
Robert Pires,Foot,France
Thierry Henry,Foot,France
Zinedine Zidane,Foot,France
Alain Juppé,Politique,France
Charles de Gaulle,Politique,France
Dominique Strauss Kahn,Politique,France
Emmanuel Macron,Politique,France
François Bayrou,Politique,France
François Fillon,Politique,France
François Hollande,Politique,France
Georges Pompidou,Politique,France
Gérald Darmanin,Politique,France
Jack Lang,Politique,France
Jacques Chirac,Politique,France
Jean-Luc Mélanchon,Politique,France
Jean-Marie Le Pen,Politique,France
Jordan Bardella,Politique,France
Lionel Jospin,Politique,France
Marine Le Pen,Politique,France
Nicolas Hulot,Politique,France
Nicolas Sarkozy,Politique,France
Segolene Royal,Politique,France
Simone Veil,Politique,France
Valéry Giscard d'Estaing,Politique,France
Andres Iniesta,Foot,Other
Dani Alves,Foot,Other
David Beckham,Foot,Other
Frank Lampard,Foot,Other
Gareth Bale,Foot,Other
Gerard Piqué,Foot,Other
Gianluigi Buffon,Foot,Other
Harry Kane,Foot,Other
Iker Casillas,Foot,Other
James Rodriguez,Foot,Other
José Mourinho,Foot,Other
Jürgen Klopp,Foot,Other
Kevin De Bruyne,Foot,Other
Luis Suarez,Foot,Other
Luka Modric,Foot,Other
Manuel Neuer,Foot,Other
Mario Balotelli,Foot,Other
Messi,Foot,Other
Mohamed Salah,Foot,Other
Neymar,Foot,Other
Paulo Dybala,Foot,Other
Pelé,Foot,Other
Pep Guardiola,Foot,Other
Pierre-Emerick Aubameyang,Foot,Other
Robert Lewandowski,Foot,Other
